11;19
11;18
12;18
13;18
13;17
14;17
14;16
15;16
16;16
17;16
18;16
19;16
19;15
19;14
19;13
20;13
20;12
20;11
20;10
20;9
20;8
20;7
20;6
20;5
20;4
20;3
20;2
19;2
18;2
17;2
16;2
16;1
15;1
14;1
13;1
12;1
11;1
10;1
9;1
8;1
8;2
7;2
6;2
5;2
4;2
3;2
3;3
3;4
3;5
2;5
2;6
2;7
2;8
2;9
2;10
2;11
2;12
3;12
4;12
5;12
6;12
6;13
7;13
7;14
8;14
9;14
10;14
11;14
12;14
12;15
13;15
13;16
13;17
14;17
14;16
15;16
15;15
15;14
15;13
16;13
17;13
17;12
17;11
17;10
17;9
17;8
17;7
17;6
17;5
17;4
16;4
16;3
15;3
14;3
13;3
12;3
11;3
10;3
9;3
8;3
8;2
7;2
6;2
5;2
4;2
3;2
2;2
3;2
4;2
5;2
6;2
7;2
8;2
8;3
9;3
10;3
11;3
11;4
12;4
12;5
13;5
12;5
11;5
10;5
9;5
8;5
7;5
6;5
5;5
4;5
3;5
2;5
2;6
2;7
2;6
2;5
3;5
4;5
4;4
5;4
5;3
5;2
6;2
7;2
6;2
5;2
4;2
3;2
3;3
2;3
2;4
2;5
2;6
2;7
2;8
2;9
2;10
2;11
2;12
2;13
1;13
1;14
1;15
1;16
1;17
1;18
1;19
2;19
1;19
1;18
1;17
1;16
1;15
2;15
3;15
4;15
5;15
6;15
7;15
7;14
8;14
9;14
10;14
11;14
12;14
13;14
13;13
13;12
14;12
14;11
14;10
14;9
15;9
16;9
17;9
18;9
18;8
18;7
18;6
18;7
18;8
18;9
18;10
19;10
20;10
20;11
20;12
20;13
19;13
19;14
19;15
19;16
19;17
